,author,author_type,url,location,deal_type,accommodation_type,floor,floors_count,rooms_count,total_meters,price,district,street,house_number,underground,residential_complex
1035,Soul Estate,real_estate_agent,https://www.cian.ru/sale/flat/305681045/,Москва,sale,flat,3,10,3,110.0,97500000.0,Тверской, Фадеева,4А,Новослободская,Итальянский Квартал
1036,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/306789416/,Москва,sale,flat,4,5,3,111.2,99000000.0,Хамовники,Барыковский переулок,5,Кропоткинская,
1037,Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/306604445/,Москва,sale,flat,6,7,4,160.0,99999000.0,Тверской,Тверская ,27С2,Маяковская,
1038,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/305688472/,Москва,sale,flat,18,23,-1,204.6,107000000.0,Можайский,Можайское шоссе,6К1,Кунцевская,
1039,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/296106334/,Москва,sale,flat,4,7,2,88.4,116583780.0,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов Театральный Дом
1040,SHOW ME,real_estate_agent,https://www.cian.ru/sale/flat/281500564/,Москва,sale,flat,4,6,-1,277.0,119000000.0,Беговой, 3-я Ямского Поля,9,Белорусская,Art Residence
1041,Webster,real_estate_agent,https://www.cian.ru/sale/flat/308306597/,Москва,sale,flat,3,9,3,102.6,123120000.0,Тверской,Большой Каретный переулок,24с2,Цветной бульвар,Каретный плаза
1042,Monumental Group,real_estate_agent,https://www.cian.ru/sale/flat/308450917/,Москва,sale,flat,4,8,4,160.0,135000000.0,Мещанский,Малый Сухаревский переулок,7,Цветной бульвар,
1043,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/290380862/,Москва,sale,flat,5,5,4,234.0,150000000.0,Покровское-Стрешнево,Береговая ,8К1,Стрешнево,
1044,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/277616861/,Москва,sale,flat,1,5,-1,284.0,156750000.0,Покровское-Стрешнево,Береговая ,8К1,Стрешнево,
1045,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/294292628/,Москва,sale,flat,15,15,4,231.3,165858000.0,Тверской,4-я Тверская-Ямская ,22к2,Маяковская,
1046,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/306167198/,Москва,sale,flat,22,53,3,152.7,167970000.0,Раменки,Мосфильмовская ,8,Ломоносовский проспект,Дом на Мосфильмовской
1047,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/306977769/,Москва,sale,flat,3,12,2,148.5,189000000.0,Тверской,1-я Тверская-Ямская ,2,Маяковская,Vesper Tverskaya
1048,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/290862844/,Москва,sale,flat,5,7,-1,138.2,197578740.0,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов Театральный Дом
1049,Soul Estate,real_estate_agent,https://www.cian.ru/sale/flat/302013150/,Москва,sale,flat,4,10,4,196.0,225017050.0,Хамовники,Еропкинский переулок,16/23,Парк Культуры,Еропкинский 16
1050,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/289533278/,Москва,sale,flat,7,7,4,212.3,245000000.0,Арбат,Поварская ,8/1к1,Арбатская,De Luxe квартал апартаментов Театральный Дом
1051,NF Group - ex-Knight Frank,real_estate_agent,https://www.cian.ru/sale/flat/309581132/,Москва,sale,flat,17,17,-1,230.0,269000000.0,Донской, Орджоникидзе,1,Шаболовская,Barkli Residence
1052,Intermark Real Estate,real_estate_agent,https://www.cian.ru/sale/flat/306872863/,Москва,sale,flat,11,12,4,254.0,320000000.0,Пресненский,Шведский тупик,3,Тверская,
1053,Славянский Двор Остоженка,real_estate_agent,https://www.cian.ru/sale/flat/299925450/,Москва,sale,flat,3,7,-1,252.0,396000000.0,Хамовники,Большой Левшинский переулок,11,Смоленская,Дворянское гнездо
1054,Soul Estate,real_estate_agent,https://www.cian.ru/sale/flat/302445879/,Москва,sale,flat,2,8,4,246.0,479384150.0,Хамовники,переулок Хилков,1,Парк Культуры,Парк Палас
